"timestamp","company","category","open","high","low","close","volume","previous","change.percent","result","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.change.percent","vix.result","confirmed.total","confirmed.previous","confirmed.change.percent","confirmed.result","deaths.total","deaths.previous","deaths.change.percent","deaths.result"
2020-03-12,"mcdonald","hospitality",174.78,179.84,169.38,170.13,9042612,188.25,-0.0580906634644252,"down",61.46,76.83,59.91,75.47,53.9,1.13953488372093,"up",132240,126546,0.0644851951547779,"up",4913,4611,0.0816326530612245,"up"
2020-03-13,"mcdonald","hospitality",178.26,179.47,168.2,177.13,8040208,170.13,-0.0962549800796813,"up",65.07,77.57,55.17,57.83,75.47,1.40018552875696,"down",146672,132240,0.0449954957090702,"up",5411,4913,0.0654955541097376,"up"
2020-03-16,"mcdonald","hospitality",157.1,161.92,147.6283,149.01,9311478,177.13,0.0411450067595368,"down",57.83,83.56,57.83,82.69,57.83,0.766264740956672,"up",183593,146672,0.109134906231095,"up",7148,5411,0.101363728882556,"up"
2020-03-17,"mcdonald","hospitality",148.02,149.48,135,147.62,13693642,149.01,-0.158753457912268,"down",82.69,84.83,70.37,75.91,82.69,1.42988068476569,"down",199419,183593,0.251724937275008,"up",7954,7148,0.321012751801885,"up"
2020-03-18,"mcdonald","hospitality",137.5,141.71,124.23,137.3,12611533,147.62,-0.00932823300449625,"down",69.37,85.47,69.37,76.45,75.91,0.918007014149232,"up",218989,199419,0.0862015436318378,"up",8849,7954,0.112758813654169,"up"
2020-03-19,"mcdonald","hospitality",135.2,154.8403,128.21,149.5,12769487,137.3,-0.0699092263920877,"up",80.62,84.26,68.57,72,76.45,1.00711368726123,"down",246905,218989,0.0981350824144139,"up",9954,8849,0.112522001508675,"up"
2020-03-20,"mcdonald","hospitality",153.59,161.54,147.77,148.49,11997672,149.5,0.088856518572469,"down",67.86,69.51,57.42,66.04,72,0.941792020928712,"down",276475,246905,0.127476722575107,"up",11435,9954,0.12487286699062,"up"
2020-03-23,"mcdonald","hospitality",142.95,153.21,136.5,137.1,10649145,148.49,-0.0067558528428093,"down",74.08,76.74,60.46,61.59,66.04,0.917222222222222,"down",384404,276475,0.119762661752496,"up",16758,11435,0.148784408278079,"up"
2020-03-24,"mcdonald","hospitality",149,162.98,146.1,161.95,11667708,137.1,-0.0767055020540105,"up",58.76,61.88,36.24,61.67,61.59,0.932616596002423,"up",425535,384404,0.390375259969256,"up",19028,16758,0.465500655881067,"up"
2020-03-25,"mcdonald","hospitality",165,171.36,159.22,162.98,9706133,161.95,0.181254558716265,"up",61.44,68.86,58.03,63.95,61.67,1.00129891216107,"up",476369,425535,0.106999406874018,"up",21803,19028,0.135457691848669,"up"
2020-03-26,"mcdonald","hospitality",163.99,170.93,161,167.35,8259684,162.98,0.00635998765050942,"up",65.67,67.06,57.66,61,63.95,1.03697097454192,"down",539307,476369,0.119459033922004,"up",24810,21803,0.14583771284423,"up"
2020-03-27,"mcdonald","hospitality",162.78,169.735,159.2164,164.01,6439640,167.35,0.0268131059025648,"down",64.95,69.1,61.8,65.54,61,0.953870211102424,"up",603674,539307,0.132120268111485,"up",28324,24810,0.137916800440306,"up"
2020-03-30,"mcdonald","hospitality",164.92,170.31,163.57,168.13,5620349,164.01,-0.0199581714968629,"up",66.3,67.69,56.6,57.08,65.54,1.0744262295082,"down",795425,603674,0.119351315669925,"up",39633,28324,0.141636436920597,"up"
2020-03-31,"mcdonald","hospitality",166.84,169.51,165,165.35,4518702,168.13,0.0251204194866167,"down",56.69,58.75,50.88,53.54,57.08,0.870918523039365,"down",871674,795425,0.317639984494943,"up",44477,39633,0.39927270159582,"up"
2020-04-01,"mcdonald","hospitality",160.22,161.44,156.35,158.17,4668309,165.35,-0.0165348242431452,"down",57.38,60.59,52.76,57.06,53.54,0.937981779957954,"up",947840,871674,0.095859446208002,"up",50027,44477,0.122221381172255,"up"
2020-04-02,"mcdonald","hospitality",155,161.95,155,161.5,4802968,158.17,-0.0434230420320533,"up",54.46,57.24,50.45,50.91,57.06,1.06574523720583,"down",1029275,947840,0.0873789971939051,"up",56334,50027,0.124783596015918,"up"
