"vix.change","day","open","high","low","close","previous","change.percent","volume","vix.previous","vix.change.percent","confirmed.total","confirmed.previous","confirmed.change.percent","deaths.total","deaths.previous","deaths.change.percent"
7.63,30,295.52,299.55,291.41,292.92,302.74,-0.0324370747175794,46893219,31.99,0.238512035010941,98023,95235,0.0292749514359217,3347,3254,0.028580208973571
2.32,31,282,290.82,281.23,289.03,292.92,-0.0132800764713917,56544246,39.62,0.0585562847046946,101971,98023,0.0402762616936841,3459,3347,0.0334628025097102
12.52,32,263.75,278.09,263,266.17,289.03,-0.0790921357644534,71686208,41.94,0.298521697663329,113844,101971,0.116435064871385,3987,3459,0.152645273200347
-7.16,33,277.14,286.44,269.37,285.34,266.17,0.072021640305068,71322520,54.46,-0.13147264047007,118880,113844,0.0442359720319033,4263,3987,0.0692249811888638
6.6,34,277.39,281.22,271.86,275.43,285.34,-0.0347304969510057,64094970,47.3,0.13953488372093,126546,118880,0.0644851951547779,4611,4263,0.0816326530612245
21.57,35,255.94,270,248,248.23,275.43,-0.0987546745089497,104618517,53.9,0.400185528756957,132240,126546,0.0449954957090702,4913,4611,0.0654955541097376
-17.64,36,264.89,279.92,252.95,277.97,248.23,0.11980824235588,92683032,75.47,-0.233735259043328,146672,132240,0.109134906231095,5411,4913,0.101363728882556
24.86,37,241.95,259.08,240,242.21,277.97,-0.128646976292406,80605865,57.83,0.429880684765693,183593,146672,0.251724937275008,7148,5411,0.321012751801885
-6.78,38,247.51,257.61,238.4,252.86,242.21,0.0439701085834607,81013965,82.69,-0.0819929858507679,199419,183593,0.0862015436318378,7954,7148,0.112758813654169
0.540000000000006,39,239.77,250,237.12,246.67,252.86,-0.0244799493791032,75058406,75.91,0.00711368726123049,218989,199419,0.0981350824144139,8849,7954,0.112522001508675
-4.45,40,247.385,252.84,242.61,244.78,246.67,-0.00766205862082939,67964255,76.45,-0.0582079790712885,246905,218989,0.127476722575107,9954,8849,0.12487286699062
-5.95999999999999,41,247.18,251.83,228,229.24,244.78,-0.063485578887164,100423346,72,-0.0827777777777777,276475,246905,0.119762661752496,11435,9954,0.148784408278079
-4.45,42,228.08,228.4997,212.61,224.37,229.24,-0.021244110975397,84188208,66.04,-0.0673834039975773,384404,276475,0.390375259969256,16758,11435,0.465500655881067
0.0799999999999983,43,236.36,247.69,234.3,246.88,224.37,0.100325355439675,71882773,61.59,0.00129891216106508,425535,384404,0.106999406874018,19028,16758,0.135457691848669
2.28,44,250.75,258.25,244.3,245.52,246.88,-0.00550874918988977,75900510,61.67,0.0369709745419167,476369,425535,0.119459033922004,21803,19028,0.14583771284423
-2.95,45,246.52,258.68,246.36,258.44,245.52,0.0526230042359074,63140169,63.95,-0.0461297888975763,539307,476369,0.132120268111485,24810,21803,0.137916800440306
4.54000000000001,46,252.75,255.87,247.05,247.74,258.44,-0.0414022597121188,51054153,61,0.0744262295081968,603674,539307,0.119351315669925,28324,24810,0.141636436920597
-8.46000000000001,47,250.74,255.52,249.4,254.81,247.74,0.0285379833696617,41994110,65.54,-0.129081476960635,795425,603674,0.317639984494943,39633,28324,0.39927270159582
-3.54,48,255.6,262.49,252,254.29,254.81,-0.00204073623484169,49250501,57.08,-0.0620182200420462,871674,795425,0.095859446208002,44477,39633,0.122221381172255
