"timestamp","company","category","open","high","low","close","volume","previous","previous.rate","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.previous.rate"
2020-03-31,"mcdonald","hospitality",166.84,169.51,165,165.35,4518702,168.13,1.02512041948662,56.69,58.75,50.88,53.54,57.08,0.870918523039365
2020-04-01,"mcdonald","hospitality",160.22,161.44,156.35,158.17,4668309,165.35,0.983465175756855,57.38,60.59,52.76,57.06,53.54,0.937981779957954
2020-04-02,"mcdonald","hospitality",155,161.95,155,161.5,4802968,158.17,0.956576957967947,54.46,57.24,50.45,50.91,57.06,1.06574523720583
2020-04-03,"mcdonald","hospitality",160.31,162.23,156.15,160.33,5049100,161.5,1.02105329708541,51.11,52.29,46.74,46.8,50.91,0.892218717139853
2020-04-06,"mcdonald","hospitality",169.2,177.87,168.24,177.04,8327470,160.33,0.992755417956656,44.17,45.73,43.45,45.24,46.8,0.919269298762522
2020-04-07,"mcdonald","hospitality",184.53,185.19,175.16,175.59,7846715,177.04,1.10422254100917,44.83,47.51,43.51,46.7,45.24,0.966666666666667
2020-04-08,"mcdonald","hospitality",175.01,179.42,174.1,177.49,5663338,175.59,0.9918097605061,45.9,47.28,42.53,43.35,46.7,1.03227232537577
2020-04-09,"mcdonald","hospitality",180.73,185.46,179.62,183.7,4900741,177.49,1.01082066176889,43,45.73,41.39,41.67,43.35,0.928265524625268
2020-04-13,"mcdonald","hospitality",182.68,182.8506,176.91,180.12,3181398,183.7,1.0349878866415,44.6,45.04,41.17,41.17,41.67,0.961245674740484
2020-04-14,"mcdonald","hospitality",183.75,184.49,181.84,183.99,3863448,180.12,0.980511703864997,40.24,40.57,37.31,37.76,41.17,0.988000959923206
2020-04-15,"mcdonald","hospitality",178.74,180.97,177.27,177.84,4959056,183.99,1.02148567621586,42.57,43.23,40.05,40.84,37.76,0.917172698566918
2020-04-16,"mcdonald","hospitality",177,179.91,172.27,179.5,7103874,177.84,0.966574270340779,41.92,43.02,39.87,40.11,40.84,1.08156779661017
2020-04-17,"mcdonald","hospitality",182.32,186.81,180.2275,186.1,6467540,179.5,1.00933423301844,39.5,40.26,37.63,38.15,40.11,0.982125367286973
2020-04-20,"mcdonald","hospitality",184.45,185.78,181.55,181.65,3855035,186.1,1.03676880222841,40.68,43.83,39.88,43.83,38.15,0.951134380453752
2020-04-21,"mcdonald","hospitality",177.37,179.39,176.1,177.58,4756259,181.65,0.976088124664159,44.28,47.77,43.77,45.41,43.83,1.14888597640891
2020-04-22,"mcdonald","hospitality",180.75,187.73,180.75,186.48,4243540,177.58,0.977594274704101,44.91,45.07,41.41,41.98,45.41,1.03604836869724
2020-04-23,"mcdonald","hospitality",186.16,187.33,181.32,182.04,5047598,186.48,1.05011825656042,41.3,42.47,39.06,41.38,41.98,0.924465976657124
2020-04-24,"mcdonald","hospitality",183.26,184.35,180.86,184.02,3319554,182.04,0.976190476190476,38.8,40.17,35.6,35.93,41.38,0.985707479752263
2020-04-27,"mcdonald","hospitality",185.15,188.365,184.77,185.89,4046983,184.02,1.01087673038893,36.29,36.44,32.51,33.29,35.93,0.86829386176897
2020-04-28,"mcdonald","hospitality",190,190,185.57,185.93,3803300,185.89,1.01016193891968,33.21,35.39,30.54,33.57,33.29,0.926523796270526
2020-04-29,"mcdonald","hospitality",188.53,190.41,186.88,187.82,3454738,185.93,1.00021518102103,32.48,33.19,30.71,31.23,33.57,1.00841093421448
2020-04-30,"mcdonald","hospitality",182,188.31,180.76,187.56,7122796,187.82,1.01016511590383,30.99,35.94,30.93,34.15,31.23,0.93029490616622
2020-05-01,"mcdonald","hospitality",184,185.54,182.15,182.66,3764076,187.56,0.998615695879033,38.17,39.57,36.59,37.19,34.15,1.09349983989753
2020-05-04,"mcdonald","hospitality",181.31,182.46,178.87,181.87,4025810,182.66,0.973875026658136,39.13,40.32,35.53,35.97,37.19,1.08901903367496
2020-05-05,"mcdonald","hospitality",183.53,183.86,179.11,179.24,3827140,181.87,0.995675024635936,34.82,36.22,31.95,33.61,35.97,0.967195482656628
2020-05-06,"mcdonald","hospitality",180.6,181.12,176.86,176.97,3914973,179.24,0.985539121350415,32.69,35.69,31.68,34.12,33.61,0.934389769252155
2020-05-07,"mcdonald","hospitality",179.5,181.56,178.3,181.12,3039575,176.97,0.987335416201741,32.12,32.28,30.37,31.44,34.12,1.01517405534067
2020-05-08,"mcdonald","hospitality",183.2,183.43,179.9102,181.23,3411572,181.12,1.02345030231113,30.14,30.39,27.89,27.98,31.44,0.921453692848769
2020-05-11,"mcdonald","hospitality",179.37,182.88,178.52,180.88,2628966,181.23,1.00060733215548,28.46,31.46,26.97,27.57,27.98,0.889949109414758
2020-05-12,"mcdonald","hospitality",181.97,182.592,176.44,176.54,3604900,180.88,0.99806875241406,28.47,33.04,26,33.04,27.57,0.985346676197284
2020-05-13,"mcdonald","hospitality",176.18,176.565,171.01,172.82,4726658,176.54,0.976006191950464,32.74,37.42,30.77,35.28,33.04,1.19840406238665
2020-05-14,"mcdonald","hospitality",170.2,175.66,167.85,175.41,4866357,172.82,0.978928288206639,35.16,39.28,32.33,32.61,35.28,1.06779661016949
2020-05-15,"mcdonald","hospitality",173.05,174.71,171.68,173.81,6878482,175.41,1.01498669135517,32.5,35.13,31.04,31.89,32.61,0.924319727891156
2020-05-18,"mcdonald","hospitality",180.06,181.15,178.11,179.83,4652627,173.81,0.990878513197651,30.71,31.08,28.35,29.3,31.89,0.977920883164673
2020-05-19,"mcdonald","hospitality",180.12,181.46,178.07,179.57,3363955,179.83,1.03463552154652,28.73,30.74,28.37,30.53,29.3,0.918783317654437
2020-05-20,"mcdonald","hospitality",182,184.6,180.57,184.1,4919895,179.57,0.998554190068398,29.52,29.83,27.83,27.99,30.53,1.0419795221843
2020-05-21,"mcdonald","hospitality",184.18,185.48,182.106,185.08,2927634,184.1,1.02522693100184,28.97,30.2,27.67,29.53,27.99,0.916803144448084
2020-05-22,"mcdonald","hospitality",184.48,185.35,183.18,184.41,2474575,185.08,1.00532319391635,31.36,31.55,28.03,28.16,29.53,1.05501964987496
2020-05-26,"mcdonald","hospitality",189.59,190.66,184.24,184.84,3990218,184.41,0.996379943808083,27.72,28.58,27.18,28.01,28.16,0.953606501862513
2020-05-27,"mcdonald","hospitality",188.74,188.75,185.27,187.72,3992517,184.84,1.0023317607505,27.62,30.53,25.92,27.62,28.01,0.994673295454546
2020-05-28,"mcdonald","hospitality",189.42,190.48,186.72,188.73,3567328,187.72,1.01558104306427,27.82,29.89,27.43,28.59,27.62,0.986076401285255
2020-05-29,"mcdonald","hospitality",187.43,188.7,185.7101,186.32,5716933,188.73,1.0053803537183,29.3,30.16,27.29,27.51,28.59,1.03511947863867
2020-06-01,"mcdonald","hospitality",186.71,187.84,185.6,187.41,2168153,186.32,0.987230435012982,28.94,30.6,28.11,28.23,27.51,0.962224554039874
2020-06-02,"mcdonald","hospitality",188.4,188.56,186.085,187.59,3121268,187.41,1.00585015027909,28.4,28.52,26.66,26.84,28.23,1.02617230098146
2020-06-03,"mcdonald","hospitality",188.47,193.81,188.09,193.29,3880645,187.59,1.00096046102129,26.75,26.98,25.04,25.66,26.84,0.950761601133546
2020-06-04,"mcdonald","hospitality",192.32,194.26,191.62,193.24,3469097,193.29,1.0303854150008,26.23,26.43,24.38,25.81,25.66,0.956035767511177
2020-06-05,"mcdonald","hospitality",198,200.15,196.27,197.16,4726963,193.24,0.999741321330643,24.79,25.09,23.54,24.52,25.81,1.00584567420109
2020-06-08,"mcdonald","hospitality",195.68,202.73,195.64,202.65,4442291,197.16,1.02028565514386,25.56,25.98,24.65,25.81,24.52,0.950019372336304
2020-06-09,"mcdonald","hospitality",200.37,201.57,199.01,199.52,3727547,202.65,1.02784540474741,25.93,27.7,25.71,27.57,25.81,1.0526101141925
2020-06-10,"mcdonald","hospitality",199.13,199.555,195.6699,195.8,3449002,199.52,0.984554650875894,26.73,29.01,26.06,27.57,27.57,1.06819062378923
2020-06-11,"mcdonald","hospitality",190.9,192.91,186.33,187.51,5792914,195.8,0.981355252606255,30.45,42.58,29.49,40.79,27.57,1
2020-06-12,"mcdonald","hospitality",191.67,191.67,185.45,189.17,4107442,187.51,0.957660878447395,37.68,44.16,34.97,36.09,40.79,1.47950671019224
2020-06-15,"mcdonald","hospitality",184.6,190.1199,184.13,189.49,4498715,189.17,1.00885286118074,44.09,44.44,34.28,34.4,36.09,0.884775680313802
2020-06-16,"mcdonald","hospitality",192,193.5,187.51,190.32,5421137,189.49,1.00169160014802,34.28,37.45,31.73,33.67,34.4,0.953172623995566
2020-06-17,"mcdonald","hospitality",191.92,192.88,190.42,190.79,3152759,190.32,1.00438017837353,33.28,35.17,32.25,33.47,33.67,0.978779069767442
2020-06-18,"mcdonald","hospitality",190.01,190.74,187.89,189.49,3152684,190.79,1.00246952501051,33.83,36.25,32.24,32.94,33.47,0.994059994059994
2020-06-19,"mcdonald","hospitality",192.29,192.3565,186.53,186.56,6267477,189.49,0.993186225693171,32.07,35.12,30.4,35.12,32.94,0.984164923812369
2020-06-22,"mcdonald","hospitality",186,187.77,184.89,187.46,3220707,186.56,0.984537442609109,35.22,35.39,31.64,31.77,35.12,1.06618093503339
2020-06-23,"mcdonald","hospitality",189.55,189.73,186.32,186.62,2950934,187.46,1.00482418524871,31.71,31.71,29.26,31.37,31.77,0.904612756264237
2020-06-24,"mcdonald","hospitality",184.96,185.71,181.34,184.29,4144862,186.62,0.995519044062733,31.05,37.12,30.95,33.84,31.37,0.987409505823104
2020-06-25,"mcdonald","hospitality",183.51,184.08,180.325,182.76,3141265,184.29,0.987514735826814,36.59,36.93,31.59,32.22,33.84,1.07873764743385
2020-06-26,"mcdonald","hospitality",182.37,182.81,178.88,179.74,5106402,182.76,0.991697867491454,33.01,36.25,31.04,34.73,32.22,0.952127659574468
2020-06-29,"mcdonald","hospitality",180.57,182.83,179.17,182.8,2621549,179.74,0.983475596410593,35.05,36.31,31.78,31.78,34.73,1.07790192427064
2020-06-30,"mcdonald","hospitality",182.92,185.2,181.89,184.47,3163070,182.8,1.017024591076,32.54,32.94,29.56,30.43,31.78,0.915059026778002
2020-07-01,"mcdonald","hospitality",184.95,186.44,183.72,184.66,2193008,184.47,1.00913566739606,30.96,31.76,28.2,28.62,30.43,0.957520453115167
2020-07-02,"mcdonald","hospitality",187,187,182.86,183.52,2689215,184.66,1.00102997777416,28.33,28.44,25.9,27.68,28.62,0.940519224449556
2020-07-06,"mcdonald","hospitality",186,188.72,184.14,188.5,3170500,183.52,0.993826491931117,27.76,28.33,24.92,27.94,27.68,0.967155835080363
2020-07-07,"mcdonald","hospitality",187.37,187.85,185.25,185.82,2364800,188.5,1.02713600697472,28.77,29.63,27.25,29.43,27.94,1.00939306358382
2020-01-02,"royal.caribbean","hospitality",134.55,134.8,133.47,134.65,1014364,133.51,1.00119985001875,13.46,13.72,12.42,12.47,NA,NA
2020-01-03,"royal.caribbean","hospitality",132.79,133.62,131.81,133.49,1229366,134.65,1.00853868624073,15.01,16.2,13.13,14.02,12.47,NA
2020-01-06,"royal.caribbean","hospitality",131.59,131.869,130.39,131.63,1517224,133.49,0.991385072409952,15.45,16.39,13.54,13.85,14.02,1.1242983159583
2020-01-07,"royal.caribbean","hospitality",131.08,132.1,130.44,130.44,1220676,131.63,0.986066372012885,13.84,14.46,13.39,13.79,13.85,0.987874465049929
2020-01-08,"royal.caribbean","hospitality",130.35,132.71,130.02,132.22,1429609,130.44,0.990959507711008,15.16,15.24,12.83,13.45,13.79,0.995667870036101
