"","timestamp","company","category","open","high","low","close","volume","vix.open","vix.high","vix.low","vix.close"
"368",2020-06-09,"apple","technology",332.14,345.61,332.01,343.99,36928091,25.93,27.7,25.71,27.57
"369",2020-06-10,"apple","technology",347.9,354.77,346.09,352.84,41662938,26.73,29.01,26.06,27.57
"370",2020-06-11,"apple","technology",349.31,351.06,335.48,335.9,50415613,30.45,42.58,29.49,40.79
"371",2020-06-12,"apple","technology",344.72,347.8,334.2233,338.8,50036513,37.68,44.16,34.97,36.09
"372",2020-06-15,"apple","technology",333.25,345.68,332.58,342.99,34702230,44.09,44.44,34.28,34.4
"373",2020-06-16,"apple","technology",351.46,353.2,344.72,352.08,41357182,34.28,37.45,31.73,33.67
"374",2020-06-17,"apple","technology",355.15,355.4,351.09,351.59,28601626,33.28,35.17,32.25,33.47
"375",2020-06-18,"apple","technology",351.41,353.45,349.22,351.73,24205096,33.83,36.25,32.24,32.94
"376",2020-06-19,"apple","technology",354.635,356.56,345.15,349.72,66118952,32.07,35.12,30.4,35.12
"377",2020-06-22,"apple","technology",351.34,359.46,351.15,358.87,33861316,35.22,35.39,31.64,31.77
"378",2020-06-23,"apple","technology",364,372.38,362.2701,366.53,53038869,31.71,31.71,29.26,31.37
"379",2020-06-24,"apple","technology",365,368.79,358.52,360.06,48155849,31.05,37.12,30.95,33.84
"380",2020-06-25,"apple","technology",360.7,365,357.57,364.84,34380628,36.59,36.93,31.59,32.22
"381",2020-06-26,"apple","technology",364.41,365.32,353.02,353.63,51314211,33.01,36.25,31.04,34.73
"382",2020-06-29,"apple","technology",353.25,362.1736,351.28,361.78,32661519,35.05,36.31,31.78,31.78
"383",2020-06-30,"apple","technology",360.08,365.98,360,364.8,35055821,32.54,32.94,29.56,30.43
"384",2020-07-01,"apple","technology",365.12,367.36,363.91,364.11,27690500,30.96,31.76,28.2,28.62
"385",2020-07-02,"apple","technology",367.85,370.47,363.64,364.11,28814500,28.33,28.44,25.9,27.68
"386",2020-07-06,"apple","technology",370,375.78,369.87,373.85,29745900,27.76,28.33,24.92,27.94
"387",2020-07-07,"apple","technology",375.41,378.62,372.23,372.69,27058500,28.77,29.63,27.25,29.43
"388",2020-01-02,"facebook","technology",206.75,209.79,206.27,209.78,12090707,13.46,13.72,12.42,12.47
"389",2020-01-03,"facebook","technology",207.2135,210.4,206.95,208.67,11197416,15.01,16.2,13.13,14.02
"390",2020-01-06,"facebook","technology",206.92,212.78,206.52,212.6,17073861,15.45,16.39,13.54,13.85
"391",2020-01-07,"facebook","technology",212.82,214.58,211.75,213.06,15111857,13.84,14.46,13.39,13.79
"392",2020-01-08,"facebook","technology",213,216.24,212.6121,215.22,13492703,15.16,15.24,12.83,13.45
"393",2020-01-09,"facebook","technology",217.54,218.38,216.278,218.3,12679579,12.95,13.24,12.53,12.54
"394",2020-01-10,"facebook","technology",219.2,219.88,217.42,218.06,12127432,12.42,12.87,12.09,12.56
"395",2020-01-13,"facebook","technology",219.5965,221.97,219.21,221.91,14295658,12.84,13.09,12.32,12.32
"396",2020-01-14,"facebook","technology",221.61,222.38,218.63,219.06,13315361,12.72,13.82,12.05,12.39
"397",2020-01-15,"facebook","technology",220.61,221.68,220.14,221.15,10036475,12.79,12.83,11.95,12.42
"398",2020-01-16,"facebook","technology",222.57,222.63,220.39,221.77,10015288,12.2,12.42,11.78,12.32
"399",2020-01-17,"facebook","technology",222.03,222.29,220.53,222.14,15905944,12.21,12.48,11.75,12.1
"400",2020-01-21,"facebook","technology",222.155,222.37,219.12,221.44,14162007,13.23,13.33,12.32,12.85
"401",2020-01-22,"facebook","technology",222.31,222.75,221.28,221.32,12212814,12.45,13.01,12.31,12.91
"402",2020-01-23,"facebook","technology",220.75,221.485,219.27,219.76,11195000,13.26,14.15,12.94,12.98
"403",2020-01-24,"facebook","technology",220.8,221.78,216.11,217.94,11905824,12.75,15.98,12.62,14.56
"404",2020-01-27,"facebook","technology",213.1,216.06,212.5,214.87,13810655,17.42,19.02,16.82,18.23
"405",2020-01-28,"facebook","technology",216.14,218.74,213.52,217.79,13413835,16.94,18.03,15.69,16.28
"406",2020-01-29,"facebook","technology",221.44,224.2,218.45,223.23,33610005,15.68,16.65,14.94,16.39
"407",2020-01-30,"facebook","technology",206.53,211.43,204.75,209.53,48775500,17.82,18.39,15.3,15.49
"408",2020-01-31,"facebook","technology",208.43,208.69,201.06,201.91,31359917,16.25,19.99,16.18,18.84
"409",2020-02-03,"facebook","technology",203.44,205.14,202.5,204.19,15510509,18.64,18.88,17.1,17.97
"410",2020-02-04,"facebook","technology",206.6165,210.6,205.2025,209.83,19628890,16.45,16.46,15.63,16.05
"411",2020-02-05,"facebook","technology",212.51,212.73,208.71,210.11,12538154,16.29,16.32,15.02,15.15
"412",2020-02-06,"facebook","technology",210.47,211.19,209.338,210.85,10567533,15.13,15.66,14.7,14.96
"413",2020-02-07,"facebook","technology",210.3,212.82,209.93,212.33,12242530,15.07,16.16,14.81,15.47
"414",2020-02-10,"facebook","technology",211.52,213.8,210.66,213.06,11856350,15.88,16.43,15.01,15.04
"415",2020-02-11,"facebook","technology",210.19,210.86,206.5102,207.19,25030810,14.91,15.27,14.38,15.18
"416",2020-02-12,"facebook","technology",207.85,211.22,207.4,210.76,13813704,14.86,14.88,13.73,13.74
"417",2020-02-13,"facebook","technology",209.5235,214.3259,209.18,213.14,15396625,14.43,15.44,14,14.15
"418",2020-02-14,"facebook","technology",214,214.93,212.65,214.18,10741747,14.12,14.54,13.38,13.68
"419",2020-02-18,"facebook","technology",213.55,217.975,213.4,217.8,15630026,14.98,15.49,14.53,14.83
"420",2020-02-19,"facebook","technology",217.99,218.32,216.11,217.49,12135114,14.66,14.74,14.21,14.38
